"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Arsenic_Category","[0,10]",349,99.538755236423,0.258126270149053,99.0328370434672,100,4452.65689661151,102.454648296491,4251.84947590167,4653.46431732135
"2","Combined","All Basins","Arsenic_Category","(10,1e+05]",2,0.461244763577034,0.258126270149053,0,0.967162956532834,20.6328145523737,11.440350567442,0,43.0554896350723
"3","Combined","All Basins","Arsenic_Category","Total",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"4","Basin","ZONE 1","Arsenic_Category","[0,10]",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"5","Basin","ZONE 1","Arsenic_Category","Total",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"6","Basin","ZONE 2","Arsenic_Category","[0,10]",58,97.5271542639633,1.38387792534915,94.814803371279,100,813.742506628899,27.7061638114879,759.439423408616,868.045589849183
"7","Basin","ZONE 2","Arsenic_Category","(10,1e+05]",2,2.4728457360367,1.38387792534915,0,5.18519662872104,20.6328145523737,11.440350567442,0,43.0554896350723
"8","Basin","ZONE 2","Arsenic_Category","Total",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"9","Basin","ZONE 3","Arsenic_Category","[0,10]",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"10","Basin","ZONE 3","Arsenic_Category","Total",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"11","Basin","ZONE 4","Arsenic_Category","[0,10]",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"12","Basin","ZONE 4","Arsenic_Category","Total",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"13","Basin","ZONE 5","Arsenic_Category","[0,10]",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"14","Basin","ZONE 5","Arsenic_Category","Total",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"15","Basin","ZONE 6","Arsenic_Category","[0,10]",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"16","Basin","ZONE 6","Arsenic_Category","Total",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"17","Combined","All Basins","Cadmium_Category","[0,5]",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"18","Combined","All Basins","Cadmium_Category","Total",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"19","Basin","ZONE 1","Cadmium_Category","[0,5]",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"20","Basin","ZONE 1","Cadmium_Category","Total",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"21","Basin","ZONE 2","Cadmium_Category","[0,5]",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"22","Basin","ZONE 2","Cadmium_Category","Total",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"23","Basin","ZONE 3","Cadmium_Category","[0,5]",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"24","Basin","ZONE 3","Cadmium_Category","Total",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"25","Basin","ZONE 4","Cadmium_Category","[0,5]",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"26","Basin","ZONE 4","Cadmium_Category","Total",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"27","Basin","ZONE 5","Cadmium_Category","[0,5]",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"28","Basin","ZONE 5","Cadmium_Category","Total",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"29","Basin","ZONE 6","Cadmium_Category","[0,5]",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"30","Basin","ZONE 6","Cadmium_Category","Total",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"31","Combined","All Basins","Chromium_Category","[0,100]",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"32","Combined","All Basins","Chromium_Category","Total",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"33","Basin","ZONE 1","Chromium_Category","[0,100]",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"34","Basin","ZONE 1","Chromium_Category","Total",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"35","Basin","ZONE 2","Chromium_Category","[0,100]",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"36","Basin","ZONE 2","Chromium_Category","Total",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"37","Basin","ZONE 3","Chromium_Category","[0,100]",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"38","Basin","ZONE 3","Chromium_Category","Total",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"39","Basin","ZONE 4","Chromium_Category","[0,100]",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"40","Basin","ZONE 4","Chromium_Category","Total",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"41","Basin","ZONE 5","Chromium_Category","[0,100]",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"42","Basin","ZONE 5","Chromium_Category","Total",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"43","Basin","ZONE 6","Chromium_Category","[0,100]",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"44","Basin","ZONE 6","Chromium_Category","Total",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"45","Combined","All Basins","Fluoride_Category","[0,4]",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"46","Combined","All Basins","Fluoride_Category","Total",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"47","Basin","ZONE 1","Fluoride_Category","[0,4]",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"48","Basin","ZONE 1","Fluoride_Category","Total",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"49","Basin","ZONE 2","Fluoride_Category","[0,4]",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"50","Basin","ZONE 2","Fluoride_Category","Total",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"51","Basin","ZONE 3","Fluoride_Category","[0,4]",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"52","Basin","ZONE 3","Fluoride_Category","Total",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"53","Basin","ZONE 4","Fluoride_Category","[0,4]",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"54","Basin","ZONE 4","Fluoride_Category","Total",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"55","Basin","ZONE 5","Fluoride_Category","[0,4]",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"56","Basin","ZONE 5","Fluoride_Category","Total",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"57","Basin","ZONE 6","Fluoride_Category","[0,4]",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"58","Basin","ZONE 6","Fluoride_Category","Total",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"59","Combined","All Basins","Lead_Category","[0,15]",350,99.9620592759147,0.0331632485595463,99.8970605031276,100,4471.59251265703,101.405607152726,4272.84117480727,4670.34385050679
"60","Combined","All Basins","Lead_Category","(15,1e+07]",1,0.0379407240853612,0.0331632485595463,0,0.102939496872422,1.69719850685154,1.48283231603426,0,4.60349644139081
"61","Combined","All Basins","Lead_Category","Total",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"62","Basin","ZONE 1","Lead_Category","[0,15]",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"63","Basin","ZONE 1","Lead_Category","Total",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"64","Basin","ZONE 2","Lead_Category","[0,15]",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"65","Basin","ZONE 2","Lead_Category","Total",60,100,0,100,100,834.375321181273,23.4839049010934,788.347713358767,880.40292900378
"66","Basin","ZONE 3","Lead_Category","[0,15]",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"67","Basin","ZONE 3","Lead_Category","Total",57,100,0,100,100,550.760334932692,15.7985461994364,519.795753373705,581.72491649168
"68","Basin","ZONE 4","Lead_Category","[0,15]",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"69","Basin","ZONE 4","Lead_Category","Total",58,100,0,100,100,429.610321225378,10.8322931806113,408.379416721401,450.841225729356
"70","Basin","ZONE 5","Lead_Category","[0,15]",58,98.3550678798169,1.43780315426987,95.5370254805898,100,101.480220550573,2.130162311111,97.3051791395706,105.655261961575
"71","Basin","ZONE 5","Lead_Category","(15,1e+07]",1,1.64493212018315,1.43780315426987,0,4.46297451941018,1.69719850685154,1.48283231603426,0,4.60349644139081
"72","Basin","ZONE 5","Lead_Category","Total",59,100,0,100,100,103.177419057424,1.50255225227347,100.232470758079,106.12236735677
"73","Basin","ZONE 6","Lead_Category","[0,15]",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"74","Basin","ZONE 6","Lead_Category","Total",57,100,0,100,100,21.2346024636058,0.128278377988757,20.9831814627526,21.486023464459
"75","Combined","All Basins","NitrateNitrite_Category","[0,10]",348,99.3918036810576,0.308285713515478,98.787574785619,99.9960325764961,4446.08332780495,102.62578152031,4244.94049213987,4647.22616347004
"76","Combined","All Basins","NitrateNitrite_Category","(10,1e+06]",3,0.608196318942456,0.308285713515478,0.00396742350388625,1.21242521438103,27.2063833589304,13.7213788245131,0.312975044654202,54.0997916732065
"77","Combined","All Basins","NitrateNitrite_Category","Total",351,100,0,100,100,4473.28971116388,101.394364901666,4274.56040772131,4672.01901460646
"78","Basin","ZONE 1","NitrateNitrite_Category","[0,10]",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
"79","Basin","ZONE 1","NitrateNitrite_Category","Total",60,100,0,100,100,2534.13171230351,96.7476960357665,2344.50971248618,2723.75371212084
