"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"1","Combined","All Basins","Water_Temperature","5Pct",6,19.794352429509,"",19.0785179185574,20.3466046698883
"2","Combined","All Basins","Water_Temperature","10Pct",13,20.3874947165318,"",19.7935352132133,20.6320387500867
"3","Combined","All Basins","Water_Temperature","25Pct",34,21.0741008767162,"",20.9759789058736,21.2247090189858
"4","Combined","All Basins","Water_Temperature","50Pct",78,22.0004408220995,"",21.9343617135123,22.2591536831317
"5","Combined","All Basins","Water_Temperature","75Pct",147,23.4847893596128,"",23.0969619330141,23.6761420694651
"6","Combined","All Basins","Water_Temperature","90Pct",231,24.950180586589,"",24.5729494756563,25.393130602026
"7","Combined","All Basins","Water_Temperature","95Pct",286,26.1371370068917,"",25.6943694466951,26.5627616931343
"8","Combined","All Basins","Water_Temperature","Mean",351,22.4369603790592,"0.0734522793786458",22.2929965568947,22.5809242012237
"9","Combined","All Basins","Water_Temperature","Variance",351,2.08888568997282,"0.330886864888965",1.44035935183308,2.73741202811256
"10","Combined","All Basins","Water_Temperature","Std. Deviation",351,1.4033136596414,"0.0880472973459295",1.23074412790729,1.57588319137551
"11","Basin","ZONE 1","Water_Temperature","5Pct",1,19.6166712778084,"",19.03,20.3238777771425
"12","Basin","ZONE 1","Water_Temperature","10Pct",4,20.2473698689232,"",19.2233350572865,20.5912908902364
"13","Basin","ZONE 1","Water_Temperature","25Pct",13,20.9650942766216,"",20.5548156889859,21.050965737356
"14","Basin","ZONE 1","Water_Temperature","50Pct",27,21.3125936372738,"",21.0873507682993,21.8732970035373
"15","Basin","ZONE 1","Water_Temperature","75Pct",43,22.325776219915,"",21.991776700281,22.8725709224537
"16","Basin","ZONE 1","Water_Temperature","90Pct",52,23.3327092903039,"",22.8753946037378,24.3121376791601
"17","Basin","ZONE 1","Water_Temperature","95Pct",55,23.8201259199644,"",23.6404961258558,25.7373818715924
"18","Basin","ZONE 1","Water_Temperature","Mean",60,21.6855104865895,"0.112335613286423",21.4653367303669,21.9056842428121
"19","Basin","ZONE 1","Water_Temperature","Variance",60,1.73810604598996,"0.280940755012981",1.18747228437503,2.28873980760489
"20","Basin","ZONE 1","Water_Temperature","Std. Deviation",60,1.31837249895087,"0.106548321979011",1.10954162525883,1.52720337264291
"21","Basin","ZONE 2","Water_Temperature","5Pct",2,19.6983397212263,"",19.03,19.8567483974429
"22","Basin","ZONE 2","Water_Temperature","10Pct",6,19.883634872481,"",19.6400402916955,20.5835224760353
"23","Basin","ZONE 2","Water_Temperature","25Pct",17,21.3742578373135,"",20.6969196517476,21.6548671194166
"24","Basin","ZONE 2","Water_Temperature","50Pct",32,22.0173376942018,"",21.705373092846,22.1870636543958
"25","Basin","ZONE 2","Water_Temperature","75Pct",46,22.5218001758539,"",22.2897657218326,22.7774649193758
"26","Basin","ZONE 2","Water_Temperature","90Pct",54,22.9787596943378,"",22.6987031725268,23.9531692686439
"27","Basin","ZONE 2","Water_Temperature","95Pct",57,23.5628264455941,"",22.8408728691699,24.84
"28","Basin","ZONE 2","Water_Temperature","Mean",60,21.8826453895241,"0.106095676325505",21.6747016850107,22.0905890940375
"29","Basin","ZONE 2","Water_Temperature","Variance",60,1.27740337436691,"0.238579685934486",0.809795782492442,1.74501096624138
"30","Basin","ZONE 2","Water_Temperature","Std. Deviation",60,1.13022271007395,"0.105545430917273",0.923357466743339,1.33708795340457
"31","Basin","ZONE 3","Water_Temperature","5Pct",2,21.6671782090401,"",20.5629112044479,22.054523988083
"32","Basin","ZONE 3","Water_Temperature","10Pct",6,22.0933634166479,"",21.6446142585735,22.3700366617238
"33","Basin","ZONE 3","Water_Temperature","25Pct",13,22.7931793613342,"",22.3568263269184,23.1673394124418
"34","Basin","ZONE 3","Water_Temperature","50Pct",24,23.5427444760638,"",23.1826131455196,23.7946104800776
"35","Basin","ZONE 3","Water_Temperature","75Pct",41,24.1787453183398,"",23.8627477549428,25.3991317051376
"36","Basin","ZONE 3","Water_Temperature","90Pct",50,25.6957820054998,"",24.683248243763,27.691290565725
"37","Basin","ZONE 3","Water_Temperature","95Pct",54,26.4093725648119,"",25.6951515170922,27.8
"38","Basin","ZONE 3","Water_Temperature","Mean",57,23.707522862761,"0.169915469367983",23.3744946623835,24.0405510631384
"39","Basin","ZONE 3","Water_Temperature","Variance",57,2.00927171913353,"0.379295229384313",1.26586673003242,2.75267670823465
"40","Basin","ZONE 3","Water_Temperature","Std. Deviation",57,1.41748781974786,"0.13379135400676",1.15526158445176,1.67971405504396
"41","Basin","ZONE 4","Water_Temperature","5Pct",4,23.4077812391049,"",22.8927088360102,23.4792528968508
"42","Basin","ZONE 4","Water_Temperature","10Pct",6,23.518181169229,"",23.2910363773096,23.7926846693736
"43","Basin","ZONE 4","Water_Temperature","25Pct",12,23.9833141220323,"",23.8839464944264,24.0996255366617
"44","Basin","ZONE 4","Water_Temperature","50Pct",29,24.7023898243241,"",24.338196115886,24.9396227371502
"45","Basin","ZONE 4","Water_Temperature","75Pct",43,26.0804430560498,"",25.3054469081267,26.6560141947794
"46","Basin","ZONE 4","Water_Temperature","90Pct",52,27.2701117445704,"",26.3945136478306,29.2452095226746
"47","Basin","ZONE 4","Water_Temperature","95Pct",55,28.5923396255934,"",27.2488994401547,42.8
"48","Basin","ZONE 4","Water_Temperature","Mean",58,25.298871749726,"0.235056500396186",24.8381694746175,25.7595740248346
"49","Basin","ZONE 4","Water_Temperature","Variance",58,5.80138100355061,"2.9444049378674",0.0304533694286198,11.5723086376726
"50","Basin","ZONE 4","Water_Temperature","Std. Deviation",58,2.40860561394982,"0.611226039002485",1.21062459109188,3.60658663680777
"51","Basin","ZONE 5","Water_Temperature","5Pct",3,24.5508330061505,"",23.7588229804168,24.6272115232525
"52","Basin","ZONE 5","Water_Temperature","10Pct",6,24.6706559020081,"",24.5210860571088,24.8611939774747
"53","Basin","ZONE 5","Water_Temperature","25Pct",15,25.098457148113,"",24.887062672332,25.1872198801191
"54","Basin","ZONE 5","Water_Temperature","50Pct",27,25.5905036754667,"",25.3743486070568,25.9865612187419
"55","Basin","ZONE 5","Water_Temperature","75Pct",43,26.4888257657762,"",26.078553658554,27.2779864116367
"56","Basin","ZONE 5","Water_Temperature","90Pct",53,27.9932254609912,"",27.3026269944974,28.2856708466336
"57","Basin","ZONE 5","Water_Temperature","95Pct",56,28.2672096430156,"",27.9941203485,29.3873310979936
"58","Basin","ZONE 5","Water_Temperature","Mean",59,25.9718173322426,"0.106894345568641",25.7623082647771,26.1813263997081
"59","Basin","ZONE 5","Water_Temperature","Variance",59,1.55862740276718,"0.212607199385174",1.14192494911832,1.97532985641605
"60","Basin","ZONE 5","Water_Temperature","Std. Deviation",59,1.24845000010701,"0.0851484638419444",1.08156207763788,1.41533792257613
"61","Basin","ZONE 6","Water_Temperature","5Pct",2,22.3478703703704,"",22.0694147235995,22.7347309987502
"62","Basin","ZONE 6","Water_Temperature","10Pct",5,22.7518888888889,"",22.3356486409676,22.9592543654986
"63","Basin","ZONE 6","Water_Temperature","25Pct",14,24.037962962963,"",23.2189555178014,24.4015715499241
"64","Basin","ZONE 6","Water_Temperature","50Pct",28,25.9757,"",25.2919141432366,26.2628123629924
"65","Basin","ZONE 6","Water_Temperature","75Pct",41,27.085,"",26.8813042722573,28.1276087376348
"66","Basin","ZONE 6","Water_Temperature","90Pct",51,29.407,"",28.2272472432231,30.1131334978652
"67","Basin","ZONE 6","Water_Temperature","95Pct",54,30.1023333333333,"",29.4063225368112,30.7
"68","Basin","ZONE 6","Water_Temperature","Mean",57,25.8643968358603,"0.135497458131428",25.5988266979259,26.1299669737946
"69","Basin","ZONE 6","Water_Temperature","Variance",57,5.36821395722137,"0.58561259685398",4.22043435849459,6.51599355594814
"70","Basin","ZONE 6","Water_Temperature","Std. Deviation",57,2.31694064602902,"0.126376262132061",2.06924772374939,2.56463356830865
"71","Combined","All Basins","pH_Field","5Pct",16,6.80756634335563,"",6.36791940357012,6.93653866333904
"72","Combined","All Basins","pH_Field","10Pct",40,6.99324358348704,"",6.83812466716531,7.02874986094134
"73","Combined","All Basins","pH_Field","25Pct",92,7.17968858845812,"",7.1342987159766,7.23826677224325
"74","Combined","All Basins","pH_Field","50Pct",196,7.4281167378447,"",7.39475096634596,7.49226331869927
"75","Combined","All Basins","pH_Field","75Pct",264,7.58038982486015,"",7.55254927546814,7.59623611437197
"76","Combined","All Basins","pH_Field","90Pct",302,7.7674317944345,"",7.68551037463645,7.79681439226071
"77","Combined","All Basins","pH_Field","95Pct",317,7.85798792926426,"",7.79422388055868,7.89784115972163
"78","Combined","All Basins","pH_Field","Mean",351,7.39527857664467,"0.023833297655393",7.34856617160727,7.44199098168206
"79","Combined","All Basins","pH_Field","Variance",351,0.184239263761907,"0.0348988759949956",0.115838723710786,0.252639803813028
"80","Combined","All Basins","pH_Field","Std. Deviation",351,0.395375269074233,"0.0337719709782097",0.32918342227001,0.461567115878456
"81","Basin","ZONE 1","pH_Field","5Pct",2,6.80980125359441,"",4.89631438514008,7.06058234473385
"82","Basin","ZONE 1","pH_Field","10Pct",6,7.06070713451887,"",6.37625103124881,7.15686449120718
"83","Basin","ZONE 1","pH_Field","25Pct",15,7.23108735111579,"",7.15412748151992,7.39757964467946
"84","Basin","ZONE 1","pH_Field","50Pct",28,7.49104347815854,"",7.41230774087734,7.54455984001997
"85","Basin","ZONE 1","pH_Field","75Pct",41,7.58335232325713,"",7.55501070019572,7.63008482450868
"86","Basin","ZONE 1","pH_Field","90Pct",50,7.68664191250911,"",7.63659678771599,7.78993357281957
"87","Basin","ZONE 1","pH_Field","95Pct",55,7.78780110953862,"",7.68767507551151,8.09216318423296
"88","Basin","ZONE 1","pH_Field","Mean",60,7.40966643666987,"0.0340459937536272",7.34293751509489,7.47639535824486
"89","Basin","ZONE 1","pH_Field","Variance",60,0.0950326207098478,"0.0263356352364938",0.043415724136336,0.14664951728336
"90","Basin","ZONE 1","pH_Field","Std. Deviation",60,0.308273613385654,"0.0427147087732539",0.224554322579959,0.391992904191349
"91","Basin","ZONE 2","pH_Field","5Pct",3,6.97301580488891,"",6.79849226049932,7.00188517825875
"92","Basin","ZONE 2","pH_Field","10Pct",6,7.00433886473725,"",6.97303896085855,7.06208610335199
"93","Basin","ZONE 2","pH_Field","25Pct",16,7.14640934710945,"",7.07734446485833,7.28270970444287
"94","Basin","ZONE 2","pH_Field","50Pct",31,7.37979967144396,"",7.31278396620874,7.4477910366744
"95","Basin","ZONE 2","pH_Field","75Pct",44,7.5388957046411,"",7.49584001940693,7.66548541023949
"96","Basin","ZONE 2","pH_Field","90Pct",53,7.78373181537158,"",7.60260767072689,7.97127956669185
"97","Basin","ZONE 2","pH_Field","95Pct",56,7.85147941965104,"",7.78559634403766,8.77577725264842
"98","Basin","ZONE 2","pH_Field","Mean",60,7.39091957370996,"0.0315653320607416",7.32905265971086,7.45278648770906
"99","Basin","ZONE 2","pH_Field","Variance",60,0.0960252346117682,"0.0228635383277532",0.0512135229302208,0.140836946293316
"100","Basin","ZONE 2","pH_Field","Std. Deviation",60,0.309879387200517,"0.0368910280453062",0.23757430087906,0.382184473521975
"101","Basin","ZONE 3","pH_Field","5Pct",2,6.79224550942544,"",4.48661284552329,6.93118797590878
"102","Basin","ZONE 3","pH_Field","10Pct",6,6.97366061749644,"",6.78403429821848,7.19161564237808
"103","Basin","ZONE 3","pH_Field","25Pct",14,7.23731250110742,"",7.10483178815254,7.32065530673846
"104","Basin","ZONE 3","pH_Field","50Pct",31,7.49178234914793,"",7.33831188511001,7.59536680855458
"105","Basin","ZONE 3","pH_Field","75Pct",44,7.79551916526138,"",7.69000792452256,7.88310296328319
"106","Basin","ZONE 3","pH_Field","90Pct",52,7.91210864577453,"",7.87704978488949,8.6017859141641
"107","Basin","ZONE 3","pH_Field","95Pct",54,8.38414227906866,"",7.91045706017553,10.31
"108","Basin","ZONE 3","pH_Field","Mean",57,7.50130958823926,"0.088630963795738",7.32759609128454,7.67502308519398
"109","Basin","ZONE 3","pH_Field","Variance",57,0.562199401322145,"0.181238950414501",0.206977585913882,0.917421216730407
"110","Basin","ZONE 3","pH_Field","Std. Deviation",57,0.749799574101069,"0.120858264444727",0.512921728555387,0.986677419646751
"111","Basin","ZONE 4","pH_Field","5Pct",2,6.58149660275655,"",6.06534383958046,6.78506361218934
"112","Basin","ZONE 4","pH_Field","10Pct",5,6.79622149663369,"",6.57247602776654,6.8149365233777
"113","Basin","ZONE 4","pH_Field","25Pct",13,6.88508261144876,"",6.81376526646369,6.99919687700878
"114","Basin","ZONE 4","pH_Field","50Pct",26,7.12492678917355,"",7.05260908975797,7.29603695348657
"115","Basin","ZONE 4","pH_Field","75Pct",37,7.39752058684254,"",7.3842306547094,7.49146658110265
"116","Basin","ZONE 4","pH_Field","90Pct",50,7.53740939814972,"",7.45786414504015,7.95772902329735
"117","Basin","ZONE 4","pH_Field","95Pct",54,7.6364211548969,"",7.53704867819554,11.93
"118","Basin","ZONE 4","pH_Field","Mean",58,7.19798440218963,"0.0673936841798657",7.06589520841162,7.33007359596763
"119","Basin","ZONE 4","pH_Field","Variance",58,0.418857997344563,"0.22791180028692",0,0.865556917558612
"120","Basin","ZONE 4","pH_Field","Std. Deviation",58,0.647192395926098,"0.176077316205787",0.302087197668285,0.99229759418391
"121","Basin","ZONE 5","pH_Field","5Pct",3,6.88246621629624,"",6.47201808066709,6.94303450970236
"122","Basin","ZONE 5","pH_Field","10Pct",5,6.94568607663422,"",6.82501026252102,7.01156908099006
"123","Basin","ZONE 5","pH_Field","25Pct",13,7.09282657818133,"",7.01792707794448,7.13527869621379
"124","Basin","ZONE 5","pH_Field","50Pct",26,7.25805009759521,"",7.22338749357615,7.31257996515098
"125","Basin","ZONE 5","pH_Field","75Pct",44,7.43240377299972,"",7.34620443289814,7.5111585166568
"126","Basin","ZONE 5","pH_Field","90Pct",53,7.56242083490849,"",7.46526560200134,7.7085905886976
"127","Basin","ZONE 5","pH_Field","95Pct",56,7.7001315011635,"",7.56280577848173,7.82837992914274
"128","Basin","ZONE 5","pH_Field","Mean",59,7.26136859283718,"0.0239884257063681",7.21435214240688,7.30838504326747
"129","Basin","ZONE 5","pH_Field","Variance",59,0.0602204582988653,"0.0100533189916618",0.0405163151501157,0.0799246014476148
"130","Basin","ZONE 5","pH_Field","Std. Deviation",59,0.245398570286922,"0.0204836543666643",0.205251345456493,0.28554579511735
"131","Basin","ZONE 6","pH_Field","5Pct",2,7.08874,"",6.98310798079399,7.17439587566294
"132","Basin","ZONE 6","pH_Field","10Pct",5,7.17739285714286,"",7.08375690701388,7.23893133302332
"133","Basin","ZONE 6","pH_Field","25Pct",14,7.35095454545455,"",7.23979009334355,7.38288847808502
"134","Basin","ZONE 6","pH_Field","50Pct",28,7.50240384615385,"",7.45269716832386,7.62584190322149
"135","Basin","ZONE 6","pH_Field","75Pct",42,7.99527777777778,"",7.66977821048523,8.34604840425654
"136","Basin","ZONE 6","pH_Field","90Pct",51,8.80833333333333,"",8.34403473001576,9.06718049988744
"137","Basin","ZONE 6","pH_Field","95Pct",54,8.96910714285714,"",8.79764748372997,9.21
"138","Basin","ZONE 6","pH_Field","Mean",57,7.74163480553724,"0.0623262393529424",7.61947762111365,7.86379198996083
"139","Basin","ZONE 6","pH_Field","Variance",57,0.349104644484026,"0.0549370595497212",0.24142998635004,0.456779302618012
