"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","Aluminum_Total","Aluminum_Total_VQ","Antimony_Total","Antimony_Total_VQ","Lead_Total","Lead_Total_VQ","Calcium_Total","Calcium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Potassium_Total","Potassium_Total_VQ","Silver_Total","Silver_Total_VQ","Iron_Total","Iron_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Turbidity_Field","Turbidity_Field_VQ","Purge_Volume","Purge_Volume_VQ","MicroLanduse_Category","MicroLanduse_Category_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Sulfate_Total","Sulfate_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Color_true","Color_true_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Depth_to_Water_from_mpe","Depth_to_Water_from_mpe_VQ","Coliform_Fecal_MF","Coliform_Fecal_MF_VQ","Coliform_Total_MF","Coliform_Total_MF_VQ","Thallium_Total","Thallium_Total_VQ","Copper_Total","Copper_Total_VQ","Chromium_Total","Chromium_Total_VQ","Barium_Total","Barium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Cadmium_Total","Cadmium_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Sodium_Total","Sodium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Arsenic_Total","Arsenic_Total_VQ"
"1",52794,"Z1-CA-12004",2018-03-07 13:06:00,"PRIMARY","WATER",54,NA,0.05,"U",0.18,"I",35.8,NA,0.2,"U",101,NA,1.8,NA,0.01,"U",58,"I",0.01,"U",7.7,NA,205,NA,1.12,NA,12.5,NA,21.09,NA,1.64,NA,94.5,NA,1,NA,0.024,NA,101,"A",204,"A",111,NA,0.5,"U",1,NA,1.7,NA,0.004,"U",2.3,NA,2.5,"U",0.079,"I",0.018,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",1.82,NA,0.4,"U",53,NA,5,"U",0.43,"I",0.02,"U",2.77,NA,0.21,"I",4,NA,3.5,"I",0.2,NA
"2",52795,"Z1-CA-12005",2018-02-26 11:49:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",39,NA,0.2,"U",99.4,NA,0.3,"U",0.01,"U",30,"U",0.01,"U",7.55,NA,197,NA,9.22,NA,102.9,NA,20.68,NA,0.42,NA,187,NA,4,NA,0.002,"U",88,NA,198,NA,106,NA,0.5,"U",0.3,NA,0.29,"I",1.6,NA,3.2,NA,2.5,"U",0.048,"I",0.02,NA,0.08,"U",21.55,NA,2,"UQ",7,"BQ",0.1,"U",0.46,"I",1.3,"I",1.83,NA,24,NA,0.15,"U",0.02,"U",0.45,NA,0.2,"U",1.8,"I",1,"U",0.15,"I"
"3",52796,"Z1-CA-12008",2018-03-13 13:14:00,"PRIMARY","WATER",6.1,"I",0.05,"U",0.05,"U",64.1,NA,0.2,"U",174,NA,0.65,"I",0.01,"U",1310,NA,0.01,"U",7.17,NA,366,NA,0.72,NA,8.1,NA,20.6,NA,5.34,NA,270,NA,2,NA,0.27,NA,160,NA,361,NA,200,NA,3.3,NA,6.3,"A",0.2,"U",0.004,"U",19,NA,45,"A",0.045,"I",0.067,NA,0.38,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.23,"I",0.4,"U",10.7,NA,8.5,"I",0.56,"I",0.02,"U",3.29,NA,0.2,"U",13,NA,25.9,NA,0.077,"I"
"4",52797,"Z1-CA-12009",2018-02-12 13:36:00,"PRIMARY","WATER",310,NA,0.05,"U",5.09,NA,42.5,NA,0.2,"U",198,NA,3.5,NA,0.01,"U",160,NA,0.012,"I",7.5,NA,344,NA,1.02,NA,11.6,NA,21.09,NA,8.13,NA,280,NA,1,NA,0.039,NA,162,NA,336,NA,175,"A",0.5,"U",7.3,"A",10,NA,0.005,"I",3.9,NA,3.1,"I",0.48,NA,0.04,NA,0.21,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.76,"I",1.7,NA,156,NA,837,NA,4.86,NA,0.02,"U",22.3,NA,0.76,"I",7.7,NA,4.9,NA,0.19,"I"
"5",52798,"Z1-CA-12012",2018-02-27 13:07:00,"PRIMARY","WATER",4.3,"I",0.05,"U",0.05,"U",26.2,NA,0.2,"U",116,NA,1.3,NA,0.01,"U",30,"I",0.01,"U",7.6,NA,224,NA,1.31,NA,14.8,NA,21.52,NA,0.45,NA,320,NA,1,NA,0.008,NA,104,"A",214,"A",111,NA,0.5,"U",0.35,NA,8.5,NA,0.004,"U",2.2,NA,2.5,"U",0.11,NA,0.009,NA,0.08,"U",NA,"O",2,"UQ",91,"BQ",0.1,"U",0.24,"I",0.4,"U",26.8,NA,5,"U",2.26,NA,0.02,"U",12.3,NA,0.2,"U",1.9,"I",4.3,NA,1.81,NA
"6",52799,"Z1-CA-12015",2018-02-28 13:43:00,"PRIMARY","WATER",6.7,"I",0.05,"U",0.063,"I",25.6,NA,0.2,"U",119,NA,1.2,NA,0.01,"U",39,"I",0.01,"U",7.44,NA,257,NA,0.1,NA,1.2,NA,22.93,NA,0.16,NA,70,NA,2,NA,0.13,NA,111,NA,269,NA,138,NA,0.92,"I",0.3,NA,3.6,NA,0.004,"U",15,NA,2.5,"U",0.26,NA,0.004,"I",0.13,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.65,"I",0.4,"U",13.5,NA,5,"U",0.2,"I",0.02,"U",13.4,NA,0.2,"U",11.3,NA,1,"U",0.05,"U"
"7",52800,"Z1-CA-12025",2018-02-14 13:09:00,"PRIMARY","WATER",909,NA,0.05,"U",0.64,NA,53.7,NA,0.2,"U",239,NA,2.4,NA,0.01,"U",750,NA,0.033,"I",7.5,NA,308,NA,0.9,NA,10.1,NA,21.03,NA,10.5,NA,96.1,NA,2,NA,0.007,NA,148,NA,304,NA,164,"A",0.5,"U",65,NA,8.5,NA,0.007,"I",2.9,NA,2.5,"U",0.45,NA,0.041,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.79,"I",2,NA,155,NA,105,NA,9.18,NA,0.06,"I",25.5,NA,0.63,"I",6.9,NA,21.3,NA,1.26,NA
"8",52801,"Z1-CA-12028",2018-02-28 10:17:00,"PRIMARY","WATER",6.1,"I",0.05,"U",0.05,"U",24.5,NA,0.2,"U",119,NA,2.7,NA,0.01,"U",41,"I",0.01,"U",7.59,NA,275,NA,0.08,NA,1,NA,25.1,NA,0.48,NA,1380,NA,1,NA,0.068,NA,131,NA,263,NA,141,"A",0.5,"U",0.9,NA,8.3,NA,0.004,"U",3.1,NA,2.5,"U",0.25,NA,0.004,"I",0.12,"I",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",14.5,NA,5,"U",1.67,NA,0.02,"U",14.1,NA,0.2,"U",12,NA,1,"U",0.12,"I"
"9",52802,"Z1-CA-12029",2018-03-14 11:45:00,"PRIMARY","WATER",1870,NA,0.094,"I",6.42,NA,55,NA,0.2,"U",256,NA,0.38,"I",0.01,"U",5160,NA,0.063,NA,7.43,NA,246,NA,1.58,NA,17.4,NA,20.14,NA,42.1,NA,425,NA,1,NA,0.009,NA,126,NA,242,NA,126,NA,2.4,NA,36,"A",0.58,NA,0.004,"U",2.9,NA,6.5,NA,0.12,NA,0.092,NA,0.1,"I",NA,"O",9,"UQ",18,"BQ",0.1,"U",6.36,NA,33.1,NA,11.3,NA,3960,NA,4.76,NA,0.113,NA,28.7,NA,26.6,NA,2.1,NA,195,NA,2.4,NA
"10",52803,"Z1-CA-12030",2018-02-26 15:26:00,"PRIMARY","WATER",3.1,"I",0.05,"U",0.24,NA,33.9,NA,0.2,"U",104,NA,1,"I",0.01,"U",30,"U",0.012,"I",7.62,NA,204,NA,0.62,NA,7,NA,21.2,NA,0.26,NA,190,NA,4,NA,0.007,NA,89,NA,203,NA,115,NA,0.5,"U",0.25,NA,10,NA,0.004,"U",2.3,NA,2.5,"U",0.11,NA,0.1,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",1.62,NA,0.4,"U",15.6,NA,27,NA,0.47,"I",0.044,"I",4.64,NA,0.2,"U",1.6,"I",13.8,NA,0.14,"I"
