"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","STRATUM","MULTIDENSITY_CATEGORY","WELL_DENSITY","WELL_WEIGHT","AQUIFER_WEIGHT","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","FK_STATION","SAMPLE_LATITUDE","SAMPLE_LONGITUDE","FK_WELL_LISTFRAME_ID","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012"
"1","Z1-CA-12001","FLGW18001-0001",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.9712e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",305435.866,861200.382,3140202,"PEA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,27906,NA,NA
"2","Z1-CA-12002","FLGW18001-0002",NA,NA,NA,"ZONE 1 - CONFINED",0.002021247021,6.042e-11,494.744081122006,NA,"CONFINED AQUIFER","ZONE 1",304702.53,845953.47,3130004,"LOWER CHATTAHOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,27583,NA,NA
"3","Z1-CA-12003","FLGW18001-0003",NA,NA,NA,"ZONE 1 - CONFINED",0.001471158797,8.3012e-11,679.736274516325,NA,"CONFINED AQUIFER","ZONE 1",302402.484,854320.088,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,10663,NA,NA
"4","Z1-CA-12004","FLGW18001-0004",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.3786e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",302125.71,851348.33,3130012,"CHIPOLA","Y",NA,NA,2018-03-07,NA,NA,"NAD83","Z1CA1802",52794,302126.507,851345.945,34039,NA,NA
"5","Z1-CA-12005","FLGW18001-0005",NA,NA,NA,"ZONE 1 - CONFINED",0.002321074264,5.2615e-11,430.834986795187,NA,"CONFINED AQUIFER","ZONE 1",305710.89,852816.44,3130012,"CHIPOLA","Y",NA,NA,2018-02-26,NA,NA,"NAD83","Z1CA1802",52795,305710.941,852816.16,9517,NA,NA
"6","Z1-CA-12006","FLGW18001-0006",NA,NA,NA,"ZONE 1 - CONFINED",0.001128386761,1.08229e-10,886.220960895061,NA,"CONFINED AQUIFER","ZONE 1",302756,841442,3120001,"APALACHEE BAY-ST. MARKS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WELL IS NOT UPGRADIENT WELL AT FACILITY",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,35930,NA,NA
"7","Z1-CA-12007","FLGW18001-0007",NA,NA,NA,"ZONE 1 - CONFINED",0.001477250937,8.267e-11,676.933062021881,NA,"CONFINED AQUIFER","ZONE 1",303946.9,851947.17,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,29083,NA,NA
"8","Z1-CA-12008","FLGW18001-0008",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,1.8236e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",295540,842850,3130013,"NEW","Y",NA,NA,2018-03-13,NA,NA,"NAD27","Z1CA1802",52796,295512.302,842846.311,15415,NA,NA
"9","Z1-CA-12009","FLGW18001-0009",NA,NA,NA,"ZONE 1 - CONFINED",0.001897958315,6.4345e-11,526.881961521638,NA,"CONFINED AQUIFER","ZONE 1",303707.12,842744.88,3120003,"LOWER OCHLOCKONEE","Y",NA,NA,2018-02-12,NA,NA,"NAD83","Z1CA1802",52797,303707.098,842744.862,4637,NA,NA
"10","Z1-CA-12010","FLGW18001-0010",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,4.1244e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",303522.338,860411.936,3140102,"CHOCTAWHATCHEE BAY","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,33762,NA,NA
