"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","STRATUM","MULTIDENSITY_CATEGORY","WELL_DENSITY","WELL_WEIGHT","AQUIFER_WEIGHT","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","FK_STATION","SAMPLE_LATITUDE","SAMPLE_LONGITUDE","FK_WELL_LISTFRAME_ID","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012"
"1","Z1-CA-12006","FLGW18001-0006",NA,NA,NA,"ZONE 1 - CONFINED",0.001128386761,1.08229e-10,886.220960895061,NA,"CONFINED AQUIFER","ZONE 1",302756,841442,3120001,"APALACHEE BAY-ST. MARKS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WELL IS NOT UPGRADIENT WELL AT FACILITY",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,35930,NA,NA
"2","Z1-CA-12034","FLGW18001-0034",NA,NA,NA,"ZONE 1 - CONFINED",0.001494967047,8.169e-11,668.91106544366,NA,"CONFINED AQUIFER","ZONE 1",304156.68,845229.68,3130011,"APALACHICOLA","N","OTHERWISE UNSAMPLEABLE","SAMPLER CAN NOT RUN IN-PLACE PLUMBING",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,16293,NA,NA
"3","Z1-CA-12038","FLGW18001-0038",NA,NA,NA,"ZONE 1 - CONFINED",0.002257841294,5.4089e-11,442.900926017535,NA,"CONFINED AQUIFER","ZONE 1",303855.7,854138.8,3140203,"LOWER CHOCTAWHATCHEE","N","OTHERWISE UNSAMPLEABLE","WELL NONFUNCTIONAL AS SAMPLING DEVICE",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,16888,NA,NA
"4","Z1-CA-12068","FLGW18001-0068",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,3.527e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",295235.76,843911.02,3130013,"NEW","N","OTHERWISE UNSAMPLEABLE","SAMPLER CAN NOT RUN IN-PLACE PLUMBING",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,16168,NA,NA
"5","Z1-CA-13001","FLGW19001-0001",NA,NA,NA,"ZONE 1 - CONFINED",0.00294280459,5.256e-12,339.811893529333,NA,"CONFINED AQUIFER","ZONE 1",305440.74,864658.87,3140104,"BLACKWATER","N","OTHERWISE UNSAMPLEABLE","WELL NONFUNCTIONAL AS SAMPLING DEVICE",NA,NA,NA,"NAD27","Z1CA1902",NA,NA,NA,13227,NA,NA
"6","Z1-CA-13015","FLGW19001-0015",NA,NA,NA,"ZONE 1 - CONFINED",0.002507999281,4.8668e-11,398.724197164378,NA,"CONFINED AQUIFER","ZONE 1",300823.627,854313.396,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","OTHERWISE UNSAMPLEABLE","WELL NONFUNCTIONAL AS SAMPLING DEVICE",NA,NA,NA,"HPGN","Z1CA1902",3610,300823.627,854313.396,2744,NA,NA
"7","Z1-CA-13037","FLGW19001-0037",NA,NA,NA,"ZONE 1 - CONFINED",0.001061389053,1.14999e-10,942.161592165687,NA,"CONFINED AQUIFER","ZONE 1",303000,850940,3130012,"CHIPOLA","N","OTHERWISE UNSAMPLEABLE","WELL NONFUNCTIONAL AS SAMPLING DEVICE",NA,NA,NA,"NAD27","Z1CA1902",NA,NA,NA,15022,NA,NA
"8","Z1-CA-13047","FLGW19001-0047",NA,NA,NA,"ZONE 1 - CONFINED",0.001470134115,8.3025e-11,680.210049979694,NA,"CONFINED AQUIFER","ZONE 1",302344.16,854253.802,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","OTHERWISE UNSAMPLEABLE","WELL DAMAGED",NA,NA,NA,"WGS84","Z1CA1902",NA,NA,NA,10557,NA,NA
"9","Z1-CA-13050","FLGW19001-0050",NA,NA,NA,"ZONE 1 - CONFINED",0.002400298738,5.0851e-11,416.614808811707,NA,"CONFINED AQUIFER","ZONE 1",304022,842338,3120003,"LOWER OCHLOCKONEE","N","OTHERWISE UNSAMPLEABLE","SAMPLE WITHDRAWAL LOCATION AFTER FILTER OR SOFTENER",NA,NA,NA,"NAD27","Z1CA1902",4379,304022,842338,3274,NA,NA
"10","Z2-CA-12002","FLGW18001-0402",NA,NA,NA,"ZONE 2 - CONFINED",0.012143683221,4.9322e-11,82.347339090063,NA,"CONFINED AQUIFER","ZONE 2",301913,830218,3110205,"LOWER SUWANNEE","N","OTHERWISE UNSAMPLEABLE","WELL NONFUNCTIONAL AS SAMPLING DEVICE",NA,NA,NA,"NAD27","Z2CA1802",NA,NA,NA,22203,NA,NA
