"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","EXCLUSION.CATEGORY","DRY",2,0.148915836207067,0.0852645856060412,0,0.31603135315164,22.3964087089883,12.8276854469509,0,47.5382101900207
"2","Combined","All Basins","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",364,58.6902612841724,2.05912451440883,54.6544513962475,62.7260711720972,8826.80521049416,311.601999880927,8216.07651321689,9437.53390777143
"3","Combined","All Basins","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",106,10.8784327487782,1.17086592799595,8.58357769918108,13.1732877983753,1636.07734516631,176.627382200364,1289.89403737,1982.26065296261
"4","Combined","All Basins","EXCLUSION.CATEGORY","SAMPLED",351,29.7433256639534,1.95894650324089,25.9038610699606,33.5827902579462,4473.28971116388,301.485422842095,3882.38914052955,5064.19028179822
"5","Combined","All Basins","EXCLUSION.CATEGORY","UNABLE TO ACCESS",3,0.539064466888962,0.339438862566509,0,1.20435241247256,81.073366194247,51.0812095094162,0,181.190697119448
"6","Combined","All Basins","EXCLUSION.CATEGORY","Total",826,100,0,100,100,15039.6420417276,133.718425143671,14777.5587443766,15301.7253390786
"7","Basin","ZONE 1","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",158,67.6385008894819,2.86285398757526,62.0274101808375,73.2495915981263,6814.64533921813,289.904407011591,6246.44314251597,7382.84753592029
"8","Basin","ZONE 1","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",15,6.61889078217491,1.46591033182188,3.74575932723887,9.49202223711096,666.859741513819,147.060250243533,378.626947479047,955.092535548591
"9","Basin","ZONE 1","EXCLUSION.CATEGORY","SAMPLED",60,25.1524270955488,2.7384099054311,19.7852423059961,30.5196118851015,2534.13171230351,283.511608989003,1978.45916948606,3089.80425512096
"10","Basin","ZONE 1","EXCLUSION.CATEGORY","UNABLE TO ACCESS",1,0.590181232794407,0.488551586294798,0,1.54772474652212,59.4613383570989,49.252818367746,0,155.995088494974
"11","Basin","ZONE 1","EXCLUSION.CATEGORY","Total",234,100,0,100,100,10075.0981313926,126.059426540583,9828.02619546124,10322.1700673239
"12","Basin","ZONE 2","EXCLUSION.CATEGORY","DRY",2,0.827657380228688,0.473890926219918,0,1.75646652822006,22.3964087089883,12.8276854469509,0,47.5382101900207
"13","Basin","ZONE 2","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",77,46.1804891633604,3.55919151296888,39.2046019838608,53.1563763428601,1249.64403676053,97.4678093315044,1058.61064081877,1440.6774327023
"14","Basin","ZONE 2","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",38,22.1575843809758,3.040077529987,16.1991419119918,28.1160268499598,599.584233349205,84.4795290962364,434.007398889678,765.161067808732
"15","Basin","ZONE 2","EXCLUSION.CATEGORY","SAMPLED",60,30.8342690754351,3.12391430368837,24.7115095494164,36.9570286014538,834.375321181273,83.4253967982863,670.864548060669,997.886094301878
"16","Basin","ZONE 2","EXCLUSION.CATEGORY","Total",177,100,0,100,100,2706,39.5173048541944,2628.54750571969,2783.45249428031
"17","Basin","ZONE 3","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",37,34.7798757919346,4.07889766854152,26.7853832649688,42.7743683189003,397.361145173066,47.2862327140536,304.681832088942,490.040458257191
"18","Basin","ZONE 3","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",16,15.888137533752,3.43024197766576,9.16498679926972,22.6112882682344,181.522457493737,39.1589705934501,104.772285458911,258.272629528562
"19","Basin","ZONE 3","EXCLUSION.CATEGORY","SAMPLED",57,48.2064647557335,4.17911245342795,40.0155548596719,56.3973746517951,550.760334932692,48.1213927287777,456.44413829838,645.076531567004
"20","Basin","ZONE 3","EXCLUSION.CATEGORY","UNABLE TO ACCESS",1,1.12552191857988,0.978000182934144,0,3.04236705400438,12.8591223602932,11.1834343540223,0,34.7782509176449
"21","Basin","ZONE 3","EXCLUSION.CATEGORY","Total",111,100,0,100,100,1142.50305995979,16.2220874842402,1110.70835273662,1174.29776718296
"22","Basin","ZONE 4","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",35,31.4416954338128,3.96412783002361,23.6721476568536,39.211243210772,277.957431685472,35.7736851556702,207.842297186083,348.07256618486
"23","Basin","ZONE 4","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",23,18.9719956850801,3.32818055579483,12.4488816616757,25.4951097084844,167.720191987536,29.5465860797677,109.809947405079,225.630436569993
"24","Basin","ZONE 4","EXCLUSION.CATEGORY","SAMPLED",58,48.5962069561633,3.9556036193453,40.8433663251303,56.3490475871964,429.610321225378,34.745219990512,361.510941409054,497.709701041703
"25","Basin","ZONE 4","EXCLUSION.CATEGORY","UNABLE TO ACCESS",1,0.990101924943816,0.865035973403578,0,2.68554127814638,8.75290547685494,7.64072272942566,0,23.7284468423858
"26","Basin","ZONE 4","EXCLUSION.CATEGORY","Total",117,100,0,100,100,884.040850375241,12.6719029060293,859.204377063835,908.877323686647
"27","Basin","ZONE 5","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",51,41.0355643667945,2.80275287980275,35.5422696648152,46.5288590687739,84.9436182392647,5.92683680777907,73.3272315537714,96.560004924758
"28","Basin","ZONE 5","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",10,9.1202718373483,2.49787353043366,4.22452967976242,14.0160139949342,18.878962703311,5.18198176132052,8.72246508257932,29.0354603240426
"29","Basin","ZONE 5","EXCLUSION.CATEGORY","SAMPLED",59,49.8441637958572,2.71179745270961,44.5291384551789,55.1591891365354,103.177419057424,5.58670185150471,92.2276846361119,114.127153478737
"30","Basin","ZONE 5","EXCLUSION.CATEGORY","Total",120,100,0,100,100,207,2.06601416110998,202.950686652675,211.049313347325
"31","Basin","ZONE 6","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",6,9.01455767077268,2.51040103699187,4.09426205151662,13.9348532900287,2.25363941769317,0.628904378707441,1.02100948570705,3.48626934967929
"32","Basin","ZONE 6","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",4,6.04703247480403,2.66644704661474,0.820892296755939,11.2731726528521,1.51175811870101,0.66741520705934,0.203648350130358,2.81986788727166
"33","Basin","ZONE 6","EXCLUSION.CATEGORY","SAMPLED",57,84.9384098544233,3.42965055702982,78.2164182830871,91.6604014257595,21.2346024636058,0.849079423737392,19.5704373730665,22.8987675541451
"34","Basin","ZONE 6","EXCLUSION.CATEGORY","Total",67,100,0,100,100,25,0.138420025579812,24.7287017351245,25.2712982648755
